date,rank,songs,artist
1985,38,Neutron Dance,The Pointer Sisters
1985,39,We Belong,Pat Benatar
1985,40,Nightshift,Commodores
1985,41,Things Can Only Get Better,Howard Jones
1985,42,All I Need,Jack Wagner
1985,43,Freeway Of Love,Aretha Franklin
1985,44,Never Surrender,Corey Hart
1985,45,Sussudio,Phil Collins
1985,46,Strut,Sheena Easton
1985,47,You Give Good Love,Whitney Houston
1985,48,The Search Is Over,Survivor
1985,49,Missing You,Diana Ross
1985,51,Raspberry Beret,Prince And The Revolution
1985,52,Suddenly,Billy Ocean
1985,53,THE BOYS OF SUMMER,Don Henley
1985,54,One Night In Bangkok,Murray Head
1985,55,If You Love Somebody Set Them Free,Sting
1985,56,Obsession,Animotion
1985,57,We Don't Need Another Hero (Thunderdome),Tina Turner
1985,58,Material Girl,Madonna
1985,59,Better Be Good To Me,Tina Turner
1985,60,Head Over Heels,Tears For Fears
1985,61,Axel F,Harold Faltermeyer
1985,62,Smooth Operator,Sade
1985,63,In My House,Mary Jane Girls
1985,64,Don't Lose My Number,Phil Collins
1985,65,All Through The Night,Cyndi Lauper
1985,66,Run To You,Bryan Adams
1985,67,Glory Days,Bruce Springsteen
1985,69,Misled,Kool & The Gang
1985,70,Would I Lie To You?,Eurythmics
1985,71,Be Near Me,ABC
1985,72,No More Lonely Nights,Paul McCartney
1985,73,I Can't Hold Back,Survivor
1985,76,Freedom,Wham!
1985, 77,Too Late For Goodbyes,Julian Lennon
1985,78,Valotte,Julian Lennon
1985,79,Some Like It Hot,The Power Station
1985,80,Solid,Ashford & Simpson
1985,81,Angel,Madonna
1985,82,I'm On Fire,Bruce Springsteen
1985,85,Who's Holding Donna Now,Debarge
1985,87,What About Love,Heart
1985,88,California Girls,David Lee Roth
1985,89,Fresh,Kool & The Gang
1985,90,Do What You Do,Jermaine Jackson
1985,91,Jungle Love,The Time
1985,92,Born In The U.S.A.,Bruce Springsteen
1985,93,Private Dancer,Tina Turner
1985,94,Who's Zoomin' Who,Aretha Franklin
1985,95,Fortress Around Your Heart,Sting
1985,96,Penny Lover,Lionel Richie
1985,97,ALL SHE WANTS TO DO IS DANCE,Don Henley
1985,99,Sentimental Street,Night Ranger
1985,100,Sugar Walls,Sheena Easton
1986,1,That's What Friends Are For,Dionne & Friends
1986,3,I MISS YOU,Klymaxx
1986,4,ON MY OWN,Patti LaBelle & Michael McDonald
1986,5,Broken Wings,Mr. Mister
1986,6,How Will I Know,Whitney Houston
1986,7,Party All The Time,Eddie Murphy
1986,8,Burning Heart,Survivor
1986,9,Kyrie,Mr. Mister
1986,10,Addicted To Love,Robert Palmer
1986,11,Greatest Love Of All,Whitney Houston
1986,12,Secret Lovers,Atlantic Starr
1986,13,Friends And Lovers,Carl Anderson & Gloria Loring
1986,15,West End Girls,Pet Shop Boys
1986,16,There'll Be Sad Songs (To Make You Cry),Billy Ocean
1986,17,Alive And Kicking,Simple Minds
1986,18,Never,Heart
1986,19,Kiss,Prince And The Revolution
1986,20,Higher Love,Steve Winwood
1986,21,Stuck With You,Huey Lewis & The News
1986,22,Holding Back The Years,Simply Red
1986,23,Sledgehammer,Peter Gabriel
1986,24,Sara,Starship
1986,25,Human,The Human League
1986,26,I Can't Wait,Nu Shooz
1986,28,Rock Me Amadeus,Falco
1986,29,Papa Don't Preach,Madonna
1986,30,You Give Love A Bad Name,Bon Jovi
1986,32,When I Think Of You,Janet Jackson
1986,33,These Dreams,Heart
1986,35,Live To Tell,Madonna
1986,36,Mad About You,Belinda Carlisle
1986,37,Something About You,Level 42
1986,38,Venus,Bananarama
1986,39,Dancing On The Ceiling,Lionel Richie
1986,40,Conga,Miami Sound Machine
1986,41,True Colors,Cyndi Lauper
1986,42,Danger Zone,Kenny Loggins
1986,43,What Have You Done For Me Lately,Janet Jackson
1986,44,No One Is To Blame,Howard Jones
1986,45,Let's Go All The Way,Sly Fox
1986,47,Words Get In the Way,Miami Sound Machine
1986,49,Walk Of Life,Dire Straits
1986,50,Amanda,Boston
1986,51,Two Of Hearts,Stacey Q
1986,52,Crush On You,The Jets
1986,53,If You Leave,Orchestral Manoeuvres In The Dark
1986,54,Invisible Touch,Genesis
1986,55,The Sweetest Taboo,Sade
1986,56,What You Need,INXS
1986,57,Talk To Me,Stevie Nicks
1986,58,Nasty,Janet Jackson
1986,62,Your Love,The Outfield
1986,63,I'm Your Man,Wham!
1986,64,Perfect Way,Scritti Politti
1986,65,Living In America,James Brown
1986,68,Word Up,Cameo
1986,69,Why Can't This Be Love,Van Halen
1986,71,Typical Male,Tina Turner
1986,73,Tarzan Boy,Baltimora
1986,76,True Blue,Madonna
1986,77,Rumors,Timex Social Club
1986,78, Life In A Northern Town,The Dream Academy
1986,79,Bad Boy,Miami Sound Machine
1986,80,Sleeping Bag,ZZ Top
1986,81,Tonight She Comes,The Cars
1986,83,A Love Bizarre,Sheila E.
1986,84,Throwing It All Away,Genesis
1986,85,Baby Love,Regina
1986,86,Election Day,Arcadia
1986,87,Nikita,Elton John
1986,88,Take Me Home,Phil Collins
1986,89,Walk This Way,Run-D.M.C.
1986,90,Sweet Love,Anita Baker
1986,91,Your Wildest Dreams,The Moody Blues
1986,92,Spies Like Us,Paul McCartney
1986,93,Object Of My Desire,Starpoint
1986,94,Dreamtime,Daryl Hall
1986,95,Tender Love,Force M.D.'s
1986,96,King For A Day,Thompson Twins
1986,97,Love Will Conquer All,Lionel Richie
1986,98,A Different Corner,George Michael
1986,99,I'll Be Over You,Toto
1986,100,Go Home,Stevie Wonder
1987,2,ALONE,Heart
1987,3,Shake You Down,Gregory Abbott
1987,4,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
1987,5,Nothing's Gonna Stop Us Now,Starship
1987,6,C'est La Vie,Robbie Nevil
1987,7,Here I Go Again,Whitesnake
1987,8,The Way It Is,Bruce Hornsby & The Range
1987,10,Livin' On A Prayer,Bon Jovi
1987,11,La Bamba, Los Lobos
1987,12,Everybody Have Fun Tonight,Wang Chung
1987,13,Don't Dream It's Over,Crowded House
1987,14,Always,Atlantic Starr
1987,16,Looking For A New Love,Jody Watley
1987,18,I Think We're Alone Now,Tiffany
1987,19,Mony Mony,Billy Idol
1987,20,At This Moment,Billy Vera & The Beaters
1987,21,The Lady In Red,Chris de Burgh
1987,22,Didn't We Almost Have It All,Whitney Houston
1987,23,I Still Haven't Found What I'm Looking For,U2
1987,25,Notorious,Duran Duran
1987,26,Only In My Dreams,Debbie Gibson
1987,27,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes
1987,28,The Next Time I Fall,Peter Cetera With Amy Grant
1987,29,Lean On Me,Club Nouveau
1987,30,Open Your Heart,Madonna
1987,32,(I Just) Died In Your Arms,Cutting Crew
1987,33,Heart And Soul,T'Pau
1987,34,You Keep Me Hangin' On,Kim Wilde
1987,35,Keep Your Hands To Yourself,The Georgia Satellites
1987,36,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael
1987,37,Control,Janet Jackson
1987,38,U Got The Look,Prince
1987,40,Land Of Confusion,Genesis
1987,41,Jacob's Ladder,Huey Lewis & The News
1987,42,Who's That Girl,Madonna
1987,43,You Got It All,The Jets
1987,44,Touch Me (I Want Your Body),Samantha Fox
1987,45,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett
1987,46,Causing A Commotion,Madonna
1987,47,In Too Deep,Genesis
1987,48,Let's Wait Awhile,Janet Jackson
1987,49,Hip To Be Square,Huey Lewis & The News
1987,50,Will You Still Love Me?,Chicago
1987,51,Little Lies,Fleetwood Mac
1987,52,LUKA,Suzanne Vega
1987,54,Don't Mean Nothing,Richard Marx
1987,55,Songbird,Kenny G
1987,56,Carrie,Europe
1987,57,Don't Disturb This Groove, The System
1987,58,La Isla Bonita,Madonna
1987,59,Bad,Michael Jackson
1987,60,Sign 'O' The Times,Prince
1987,61,Change Of Heart,Cyndi Lauper
1987,62,Come Go With Me,Expose
1987,63,Can't We Try,Dan Hill (Duet With Vonda Shepard)
1987,64,To Be A Lover,Billy Idol
1987,65,Mandolin Rain,Bruce Hornsby & The Range
1987,66,Breakout,Swing Out Sister
1987,67,Stand By Me,Ben E. King
1987,68,"Tonight, Tonight, Tonight", Genesis
1987,69,Someday,Glass Tiger
1987,70,When Smokey Sings,ABC
1987,71,Casanova,Levert
1987,72,Rhythm Is Gonna Get You,Gloria Estefan & Miami Sound Machine
1987,73,Rock Steady,The Whispers
1987,74,Wanted Dead Or Alive,Bon Jovi
1987,75,Big Time,Peter Gabriel
1987,76,The Finer Things,Steve Winwood
1987,77,Let Me Be The One,Expose
1987,78,Is This Love,Survivor
1987,79,Diamonds,Herb Alpert
1987,80,Point Of No Return,Expose
1987,81,Big Love, Fleetwood Mac
1987,82,Midnight Blue,Lou Gramm
1987,83,Something So Strong,Crowded House
1987,84,Heat Of The Night,Bryan Adams
1987,85,Nothing's Gonna Change My Love For You,Glenn Medeiros
1987,86,Brilliant Disguise,Bruce Springsteen
1987,87,Just To See Her,Smokey Robinson
1987,88,Who Will You Run To,Heart
1987,89,Respect Yourself,Bruce Willis
1987,91,Victory,Kool & The Gang
1987,93,Doing It All For My Baby,Huey Lewis & The News
1987,94,Right On Track,"The Breakfast Club
 "
1987,95,Ballerina Girl,Lionel Richie
1987,96,Meet Me Half Way,Kenny Loggins
1987,97,I've Been In Love Before,Cutting Crew
1987,98,(You Gotta) Fight For Your Right (To Party!),Beastie Boys
1987,99,Funkytown,Pseudo Echo
1987,100,Love You Down,Ready For The World
1988,1,Faith,George Michael
1988,2,Need You Tonight,INXS
1988,3,Got My Mind Set On You,George Harrison
1988,4,Never Gonna Give You Up,Rick Astley
1988,5,Sweet Child O' Mine,Guns N' Roses
1988,6, So Emotional,Whitney Houston
1988,7,Heaven Is A Place On Earth,Belinda Carlisle
1988,8,Could've Been,Tiffany
1988,9,Hands To Heaven,Breathe
1988,10,Roll With It,Steve Winwood
1988,11,One More Try,George Michael
1988,12,Wishing Well,Terence Trent D'Arby
1988,13,Anything For You/No Te Olvidare,Gloria Estefan & Miami Sound Machine
1988,14,The Flame,Cheap Trick
1988,15,"Get Outta My Dreams, Get Into My Car",Billy Ocean
1988,16,Seasons Change,Expose
1988,17,Is This Love,Whitesnake
1988,18,"Wild, Wild West",The Escape Club
1988,19,Pour Some Sugar On Me,Def Leppard
1988,20,I'll Always Love You,Taylor Dayne
1988,21,Man In The Mirror,Michael Jackson
1988,22,Shake Your Love,Debbie Gibson
1988,24,Hold On To The Nights,Richard Marx
1988,26,Shattered Dreams,Johnny Hates Jazz
1988,27,Father Figure,George Michael
1988,28,Naughty Girls (Need Love Too),Samantha Fox
1988,29,Groovy Kind Of Love,Phil Collins
1988,30,Love Bites,Def Leppard
1988,31,Endless Summer Nights,Richard Marx
1988,32,Foolish Beat,Debbie Gibson
1988,33,Where Do Broken Hearts Go,Whitney Houston
1988,34,Angel,Aerosmith
1988,36,The Way You Make Me Feel,Michael Jackson
1988,38,Make Me Lose Control,Eric Carmen
1988,39,Red Red Wine,UB40
1988,41,Bad Medicine,Bon Jovi
1988,43,I Don't Wanna Go On With You Like That,Elton John
1988,44,Together Forever,Rick Astley
1988,45,Monkey,George Michael
1988,46,Devil Inside,INXS
1988,47,Should've Known Better,Richard Marx
1988,48,I Don't Wanna Live Without Your Love,Chicago
1988,49,The Loco-Motion,Kylie Minogue
1988,50,What Have I Done To Deserve This?,"Pet Shop Boys & Dusty Springfield
 "
1988,51,Make It Real,The Jets
1988,52,What's On Your Mind (Pure Energy),Information Society
1988,53,Tell It To My Heart,Taylor Dayne
1988,54,Out Of The Blue,Debbie Gibson
1988,55,Don't You Want Me,Jody Watley
1988,56,Desire,U2
1988,57,I Get Weak,Belinda Carlisle
1988,58,Sign Your Name,Terence Trent D'Arby
1988,59,I Want To Be Your Man,Roger
1988,60,Girlfriend,Pebbles
1988,61,Dirty Diana,Michael Jackson
1988,63,Mercedes Boy,Pebbles
1988,64,Perfect World,Huey Lewis & The News
1988,65,New Sensation,INXS
1988,66,Catch Me (I'm Falling),Pretty Poison
1988,67,If It Isn't Love,New Edition
1988,68,Rocket 2 U,The Jets
1988,69,One Good Woman,Peter Cetera
1988,70,Don't Be Cruel,Cheap Trick
1988,71,CANDLE IN THE WIND,Elton John
1988,73,Say You Will,Foreigner
1988,74,I Want Her,Keith Sweat
1988,75,Pink Cadillac,Natalie Cole
1988,76,Fast Car,Tracy Chapman
1988,77,Electric Blue,Icehouse
1988,78,The Valley Road,Bruce Hornsby & The Range
1988,79,Don't Be Cruel,Bobby Brown
1988,81,Piano In The Dark, Brenda Russell Featuring Joe Esposito
1988,82,When It's Love,Van Halen
1988,83,Don't Shed A Tear,Paul Carrack
1988,84,We'll Be Together,Sting
1988,85,I Hate Myself For Loving You,Joan Jett & the Blackhearts
1988,86,I Don't Want To Live Without You,Foreigner
1988,87,Nite And Day,Al B. Sure!
1988,88,Don't You Know What The Night Can Do?,Steve Winwood
1988,89,One Moment In Time,Whitney Houston
1988,90,Can't Stay Away From You,Gloria Estefan & Miami Sound Machine
1988,91,Kissing A Fool,George Michael
1988,93,I STILL BELIEVE,Brenda K. Starr
1988,94,I Found Someone,Cher
1988,95,Never Tear Us Apart,INXS
1988,96,Valerie,Steve Winwood
1988,97,Just Like Paradise,David Lee Roth
1988,98,Nothin' But A Good Time,Poison
1988,99,Wait,White Lion
1988,100,Prove Your Love,Taylor Dayne
1989,1,Look Away,Chicago
1989,2,My Prerogative,Bobby Brown
1989,3,Every Rose Has Its Thorn,Poison
1989,4,Straight Up,Paula Abdul
1989,5,Miss You Much,Janet Jackson
1989,6,Cold Hearted,Paula Abdul
1989,9,"Baby, I Love Your Way/Freebird Medley",Will To Power
1989,10,GIVING YOU THE BEST THAT I GOT,Anita Baker
1989,11,Right Here Waiting,Richard Marx
1989,12,Waiting For A Star To Fall,Boy Meets Girl
1989,13,Lost In Your Eyes,Debbie Gibson
1989,14,Don't Wanna Lose You,Gloria Estefan
1989,15,Heaven,Warrant
1989,16,Girl I'm Gonna Miss You,Milli Vanilli
1989,17,The Look,Roxette
1989,20,Two Hearts,Phil Collins
1989,21,Blame It On The Rain,Milli Vanilli
1989,22,Listen To Your Heart,Roxette
1989,23,I'll Be There For You,Bon Jovi
1989,24,If You Don't Know Me By Now,Simply Red
1989,25,Like A Prayer,Madonna
1989,26,I'll Be Loving You (Forever),New Kids On The Block
1989,27,How Can I Fall?,Breathe
1989,28,Baby Don't Forget My Number,Milli Vanilli
1989,29,Toy Soldiers,Martika
1989,30,Forever Your Girl,Paula Abdul
1989,31,The Living Years,Mike + The Mechanics
1989,33,Wild Thing,Tone-Loc
1989,34,When I See You Smile,Bad English
1989,35,If I Could Turn Back Time,Cher
1989,36,Buffalo Stance,Neneh Cherry
1989,37,When I'm With You,Sheriff
1989,38,Don't Rush Me,Taylor Dayne
1989,39,Born To Be My Baby,Bon Jovi
1989,40,Good Thing,Fine Young Cannibals
1989,41,The Lover In Me,Sheena Easton
1989,42,Bust A Move,Young M.C.
1989,46,Real Love,Jody Watley
1989,48,Every Little Step,Bobby Brown
1989,49,Hangin' Tough,New Kids On The Block
1989,"50
 ",My Heart Can't Tell You No,Rod Stewart
1989,52,You Got It (The Right Stuff),New Kids On The Block
1989,53,Armageddon It,Def Leppard
1989,"54
 ",Satisfied,Richard Marx
1989,55,Express Yourself,Madonna
1989,56,I Like It,Dino
1989,57,Soldier Of Love,Donny Osmond
1989,58,Sowing The Seeds Of Love,Tears For Fears
1989,59,Cherish,Madonna
1989,60,When The Children Cry,White Lion
1989,61,18 And Life,Skid Row
1989,62,I Don't Want Your Love,Duran Duran
1989,63,SECOND CHANCE,Thirty Eight Special
1989,64,The Way You Love Me,Karyn White
1989,65,Funky Cold Medina,Tone-Loc
1989,67,Miss You Like Crazy,Natalie Cole
1989,68,Love Song,The Cure
1989,69,Secret Rendezvous,Karyn White
1989,70,Angel Eyes,The Jeff Healey Band
1989,71,Patience,Guns N' Roses
1989,72,Walk On Water,Eddie Money
1989,73,Cover Girl,New Kids On The Block
1989,74,Welcome To The Jungle,Guns N' Roses
1989,75,Shower Me With Your Love,Surface
1989,76,Stand,R.E.M.
1989,77,Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne)
1989,78,All This Time,Tiffany
1989,80,Roni,Bobby Brown
1989,81,Love In An Elevator,Aerosmith
1989,82,Lay Your Hands On Me,Bon Jovi
1989,83,The Promise,When In Rome
1989,84,What I Am, Edie Brickell & New Bohemians
1989,85,I Remember Holding You,Boys Club
1989,86,Paradise City,Guns N' Roses
1989,87,I Wanna Have Some Fun,Samantha Fox
1989,88,She Wants To Dance With Me,Rick Astley
1989,89,Dreamin',Vanessa Williams
1989,90,It's No Crime,Babyface
1989,91,Poison,Alice Cooper
1989,92,THIS TIME I KNOW IT's FOR REAL,Donna Summer
1989,93,Smooth Criminal,Michael Jackson
1989,95,Rock Wit'cha,Bobby Brown
1989,97,What You Don't Know,Expose
1989,99,The End Of The Innocence,Don Henley
1989,100,Keep On Movin',Soul II Soul (Featuring Caron Wheeler)
1990,1,Hold On,Wilson Phillips
1990,3,Nothing Compares 2 U,Sinead O'Connor
1990,4,Poison,Bell Biv DeVoe
1990,5,Vogue,Madonna
1990,6,Vision Of Love,Mariah Carey
1990,7,Another Day In Paradise,Phil Collins
1990,8,Hold On,En Vogue
1990,11,Do Me!,Bell Biv DeVoe
1990,12,How Am I Supposed To Live Without You,Michael Bolton
1990,14,Opposites Attract,Paula Abdul
1990,15,Escapade,Janet Jackson
1990,16,All I Wanna Do Is Make Love To You,Heart
1990,17,Close To You,Maxi Priest
1990,18,Black Velvet,Alannah Myles
1990,19,Release Me,Wilson Phillips
1990,20,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1990,21,All Around The World,Lisa Stansfield
1990,22,I Wanna Be Rich,Calloway
1990,23,Rub You The Right Way,Johnny Gill
1990,24,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990, 25,If Wishes Came True,Sweet Sensation
1990,27,(Can't Live Without Your) Love And Affection,Nelson
1990,28,Love Will Lead You Back,Taylor Dayne
1990,29,Don't Wanna Fall In Love,Jane Child
1990,30,Two To Make It Right,Seduction
1990,31,Sending All My Love,Linear
1990,32,Unskinny Bop,Poison
1990,33,Step By Step,New Kids On The Block
1990,34,Dangerous,Roxette
1990,35,We Didn't Start The Fire,Billy Joel
1990,36,I Don't Have The Heart,James Ingram
1990,37,Downtown Train,Rod Stewart
1990,38,Rhythm Nation,Janet Jackson
1990,39,I'll Be Your Everything,Tommy Page
1990,41,Everything,Jody Watley
1990,42,Back To Life,Soul II Soul
1990,43,Here And Now,Luther Vandross
1990,44,Alright,Janet Jackson
1990,45,Ice Ice Baby,Vanilla Ice
1990,46,Blame It On The Rain,Milli Vanilli
1990,47,Have You Seen Her,M.C. Hammer
1990,48,With Every Beat Of My Heart,Taylor Dayne
1990,49,Come Back To Me,Janet Jackson
1990,50,No More Lies,Michel'le
1990,51,Praying For Time,George Michael
1990,52,How Can We Be Lovers,Michael Bolton
1990,53,Do You Remember?,Phil Collins
1990,54,Ready Or Not,After 7
1990,55,U Can't Touch This,M.C. Hammer
1990,56,I Wish It Would Rain Down,Phil Collins
1990,57,Just Between You And Me,Lou Gramm
1990,58,Something Happened On The Way To Heaven,Phil Collins
1990,59,Black Cat,Janet Jackson
1990,60,Can't Stop,After 7
1990,61,Janie's Got A Gun,Aerosmith
1990,62,The Humpty Dance,Digital Underground
1990,63,I'll Be Your Shelter,Taylor Dayne
1990,64,Free Fallin',Tom Petty
1990,65,Giving You The Benefit,Pebbles
1990,66,Enjoy The Silence,Depeche Mode
1990,67,Love Song,Tesla
1990,68,Price Of Love,Bad English
1990,69,Girls Nite Out,Tyler Collins
1990,71,What Kind Of Man Would I Be?,Chicago
1990,72,I Remember You,Skid Row
1990,73,Get Up! (Before The Night Is Over),Technotronic
1990,74,Here We Are,Gloria Estefan
1990,75,Epic,Faith No More
1990,76,Love Takes Time,Mariah Carey
1990,77,Just Like Jesse James,Cher
1990,79,All Or Nothing,Milli Vanilli
1990,80,Romeo,Dino
1990,81,Everybody Everybody,Black Box
1990,82,I Go To Extremes,Billy Joel
1990,83,Whip Appeal,Babyface
1990,84,Oh Girl,Paul Young
1990,86,(It's Just) The Way That You Love Me,Paula Abdul
1990,87,We Can't Go Wrong,The Cover Girls
1990,88,When I'm Back On My Feet Again,Michael Bolton
1990,89,Make You Sweat,Keith Sweat
1990,90,This One's For The Children,New Kids On The Block
1990,91,What It Takes,Aerosmith
1990,92,Forever,KISS
1990,93,Jerk Out,The Time
1990,94,Just A Friend,Biz Markie
1990,96,Without You,Motley Crue
1990,97,Swing The Mood,Jive Bunny & The Mastermixers
1990,98,Thieves In The Temple,Prince
1990,99,Mentirosa,Mellow Man Ace
1990,100,Tic-Tac-Toe,Kyper
1991,1,"""(Everything I Do) I Do It for You""",Bryan Adams
1991,2,"""I Wanna Sex You Up""",Color Me Badd
1991,3,"""Gonna Make You Sweat (Everybody Dance Now)""",C+C Music Factory
1991,4,"""Rush Rush""",Paula Abdul
1991,5,"""One More Try""",Timmy T
1991,6,"""Unbelievable""",EMF
1991,7,"""More Than Words""",Extreme
1991,8,"""I Like the Way (The Kissing Game)""",Hi-Five
1991,9,"""The First Time""",Surface
1991,10,"""Baby Baby""",Amy Grant
1991,11,"""Motownphilly""",Boyz II Men
1991,12,"""Because I Love You (The Postman Song)""",Stevie B
1991,13,"""Someday""",Mariah Carey
1991,14,"""High Enough""",Damn Yankees
1991,15,"""From a Distance""",Bette Midler
1991,16,"""All the Man That I Need""",Whitney Houston
1991,17,"""Right Here, Right Now""",Jesus Jones
1991,18,"""I Adore Mi Amor""",Color Me Badd
1991,19,"""Love Will Never Do (Without You)""",Janet Jackson
1991,20,"""Good Vibrations""",Marky Mark and the Funky Bunch featuring Loleatta Holloway
1991,21,"""Justify My Love""",Madonna
1991,22,"""Emotions""",Mariah Carey
1991,23,"""Joyride""",Roxette
1991,24,"""Romantic""",Karyn White
1991,25,"""Hold You Tight""",Tara Kemp
1991,26,"""I Don't Wanna Cry""",Mariah Carey
1991,27,"""You're in Love""",Wilson Phillips
1991,28,"""Every Heartbeat""",Amy Grant
1991,29,"""Sensitivity""",Ralph Tresvant
1991,30,"""Touch Me (All Night Long)""",Cathy Dennis
1991,31,"""I've Been Thinking About You""",Londonbeat
1991,32,"""Do Anything""",Natural Selection
1991,33,"""Losing My Religion""",R.E.M.
1991,34,"""Coming Out of the Dark""",Gloria Estefan
1991,35,"""It Ain't Over 'til It's Over""",Lenny Kravitz
1991,36,"""Here We Go""",C+C Music Factory
1991,37,"""Where Does My Heart Beat Now""",Celine Dion
1991,38,"""Summertime""",DJ Jazzy Jeff & The Fresh Prince
1991,39,"""Wind of Change""",Scorpions
1991,40,"""P.A.S.S.I.O.N.""",Rythm Syndicate
1991,41,"""The Promise of a New Day""",Paula Abdul
1991,42,"""I'm Your Baby Tonight""",Whitney Houston
1991,43,"""Love of a Lifetime""",FireHouse
1991,44,"""Fading Like a Flower (Every Time You Leave)""",Roxette
1991,45,"""This House""",Tracie Spencer
1991,46,"""Hole Hearted""",Extreme
1991,47,"""Power of Love/Love Power""",Luther Vandross
1991,48,"""Impulsive""",Wilson Phillips
1991,49,"""Love Is a Wonderful Thing""",Michael Bolton
1991,50,"""Rhythm of My Heart""",Rod Stewart
1991,51,"""Things That Make You Go Hmmm...""",C+C Music Factory
1991,52,"""I Touch Myself""",Divinyls
1991,53,"""Tom's Diner""",DNA featuring Suzanne Vega
1991,54,"""Iesha""",Another Bad Creation
1991,55,"""Something to Talk About""",Bonnie Raitt
1991,56,"""After the Rain""",Nelson
1991,57,"""Play That Funky Music""",Vanilla Ice
1991,58,"""Temptation""",Corina
1991,59,"""Can't Stop This Thing We Started""",Bryan Adams
1991,60,"""I Can't Wait Another Minute""",Hi-Five
1991,61,"""3 a.m. Eternal""",The KLF
1991,62,"""Time, Love and Tenderness""",Michael Bolton
1991,63,"""Sadeness (Part I)""",Enigma
1991,64,"""Around the Way Girl""",LL Cool J
1991,65,"""I'll Be There""",The Escape Club
1991,66,"""Cream""",Prince and The New Power Generation
1991,67,"""Now That We Found Love""",Heavy D & the Boyz
1991,68,"""Show Me the Way""",Styx
1991,69,"""Love Takes Time""",Mariah Carey
1991,70,"""Cry for Help""",Rick Astley
1991,71,"""The Way You Do the Things You Do""",UB40
1991,72,"""Here I Am (Come and Take Me)""",UB40
1991,73,"""Signs""",Tesla
1991,74,"""Too Many Walls""",Cathy Dennis
1991,75,"""Crazy""",Seal
1991,76,"""I'll Give All My Love to You""",Keith Sweat
1991,77,"""Place in this World""",Michael W. Smith
1991,78,"""Something to Believe In""",Poison
1991,79,"""Wicked Game""",Chris Isaak
1991,80,"""Get Here""",Oleta Adams
1991,81,"""Round and Round""",Tevin Campbell
1991,82,"""Silent Lucidity""",Queensrÿche
1991,83,"""I'm Not In Love""",Will to Power
1991,84,"""Piece of My Heart""",Tara Kemp
1991,85,"""Real Real Real""",Jesus Jones
1991,86,"""Everybody Plays the Fool""",Aaron Neville
1991,87,"""Just Another Dream""",Cathy Dennis
1991,88,"""Strike It Up""",Black Box
1991,89,"""Rico Suave""",Gerardo
1991,90,"""Disappear""",INXS
1991,91,"""Groove Is in the Heart""",Deee-Lite
1991,92,"""All This Time""",Sting
1991,93,"""The One and Only""",Chesney Hawkes
1991,94,"""O.P.P.""",Naughty by Nature
1991,95,"""Freedom 90""",George Michael
1991,96,"""I Saw Red""",Warrant
1991,97,"""Miles Away""",Winger
1991,98,"""Do You Want Me""",Salt-n-Pepa
1991,99,"""The Motown Song""",Rod Stewart
1991,100,"""Shiny Happy People""",R.E.M.
1992,1,"""End of the Road""",Boyz II Men
1992,2,"""Baby Got Back""",Sir Mix-a-Lot
1992,3,"""Jump""",Kris Kross
1992,4,"""Save the Best for Last""",Vanessa Williams
1992,5,"""Baby-Baby-Baby""",TLC
1992,6,"""Tears in Heaven""",Eric Clapton
1992,7,"""My Lovin' (You're Never Gonna Get It)""",En Vogue
1992,8,"""Under the Bridge""",Red Hot Chili Peppers
1992,9,"""All 4 Love""",Color Me Badd
1992,10,"""Just Another Day""",Jon Secada
1992,11,"""I Love Your Smile""",Shanice
1992,12,"""To Be with You""",Mr. Big
1992,13,"""I'm Too Sexy""",Right Said Fred
1992,14,"""Black or White""",Michael Jackson
1992,15,"""Achy Breaky Heart""",Billy Ray Cyrus
1992,16,"""I'll Be There""",Mariah Carey
1992,17,"""November Rain""",Guns N' Roses
1992,18,"""Life Is a Highway""",Tom Cochrane
1992,19,"""Remember the Time""",Michael Jackson
1992,20,"""Finally""",CeCe Peniston
1992,21,"""This Used to Be My Playground""",Madonna
1992,22,"""Sometimes Love Just Ain't Enough""",Patty Smyth and Don Henley
1992,23,"""Can't Let Go""",Mariah Carey
1992,24,"""Jump Around""",House of Pain
1992,25,"""Diamonds and Pearls""",Prince and The New Power Generation
1992,26,"""Don't Let the Sun Go Down on Me""",George Michael and Elton John
1992,27,"""Masterpiece""",Atlantic Starr
1992,28,"""If You Asked Me To""",Celine Dion
1992,29,"""Giving Him Something He Can Feel""",En Vogue
1992,30,"""Live and Learn""",Joe Public
1992,31,"""Come and Talk to Me""",Jodeci
1992,32,"""Smells Like Teen Spirit""",Nirvana
1992,33,"""Humpin' Around""",Bobby Brown
1992,34,"""Damn I Wish I Was Your Lover""",Sophie B. Hawkins
1992,35,"""Tell Me What You Want Me to Do""",Tevin Campbell
1992,36,"""Ain't 2 Proud 2 Beg""",TLC
1992,37,"""It's So Hard to Say Goodbye to Yesterday""",Boyz II Men
1992,38,"""Move This""",Technotronic featuring Ya Kid K
1992,39,"""Bohemian Rhapsody""",Queen
1992,40,"""Tennessee""",Arrested Development
